Z(km) N2 CO2 CO O O2 N H NO H2 H2O
45 3.64006E+12 1.28342E+15 4.46575E+11 1.91796E+11 3.01795E+11 166214269.8 1567945.156 12839289320 613296.9111 12839289320
46 3.38978E+12 1.1475E+15 4.15869E+11 1.84145E+11 2.78198E+11 160398211.6 1563961.128 11895798258 607087.2678 11895798258
47 3.1567E+12 1.02598E+15 3.87275E+11 1.768E+11 2.56447E+11 154785665 1559987.223 11021639334 600940.4973 11021639334
48 2.93966E+12 9.17322E+14 3.60646E+11 1.69747E+11 2.36396E+11 149369508.9 1556023.416 10211717699 594855.9629 10211717699
49 2.73753E+12 8.20173E+14 3.35849E+11 1.62976E+11 2.17913E+11 144142871.3 1552069.68 9461312895 588833.0346 9461312895
50 2.5493E+12 7.33313E+14 3.12757E+11 1.56475E+11 2.00875E+11 139099120.6 1548125.991 8766051348 582871.0885 8766051348
51 2.37402E+12 6.55652E+14 2.91252E+11 1.50234E+11 1.85169E+11 134231857.5 1544192.322 8121880873 576969.5072 8121880873
52 2.21078E+12 5.86215E+14 2.71226E+11 1.44241E+11 1.70691E+11 129534906.4 1540268.648 7525047059 571127.6796 7525047059
53 2.05877E+12 5.24132E+14 2.52577E+11 1.38487E+11 1.57345E+11 125002307.9 1536354.944 6972071387 565345.0006 6972071387
54 1.91722E+12 4.68624E+14 2.3521E+11 1.32963E+11 1.45043E+11 120628311 1532451.185 6459730955 559620.8713 6459730955
55 1.78539E+12 4.18995E+14 2.19038E+11 1.27659E+11 1.33703E+11 116407366.1 1528557.344 5985039695 553954.699 5985039695
56 1.66263E+12 3.74621E+14 2.03977E+11 1.22567E+11 1.23249E+11 112334117.6 1524673.398 5545230971 548345.8967 5545230971
57 1.54831E+12 3.34947E+14 1.89952E+11 1.17678E+11 1.13612E+11 108403397.6 1520799.32 5137741449 542793.8837 5137741449
58 1.44185E+12 2.99475E+14 1.76891E+11 1.12984E+11 1.04729E+11 104610218.6 1516935.086 4760196165 537298.085 4760196165
59 1.34271E+12 2.67759E+14 1.64728E+11 1.08477E+11 96540801417 100949768 1513080.671 4410394675 531857.9313 4410394675
60 1.25039E+12 2.39402E+14 1.53402E+11 1.0415E+11 88992555554 97417401.48 1509236.05 4086298235 526472.8592 4086298235
61 1.16442E+12 2.14048E+14 1.42854E+11 99995671180 82034485191 94008637.13 1505401.197 3786017918 521142.3112 3786017918
62 1.08435E+12 1.91379E+14 1.33032E+11 96006931448 75620446211 90719149.98 1501576.089 3507803605 515865.735 3507803605
63 1.00979E+12 1.71111E+14 1.23885E+11 92177299050 69707902376 87544766.35 1497760.699 3250033781 510642.5843 3250033781
64 9.40362E+11 1.5299E+14 1.15367E+11 88500427333 64257643232 84481458.63 1493955.005 3011206089 505472.3181 3011206089
65 8.75705E+11 1.36788E+14 1.07434E+11 84970222809 59233524077 81525340.11 1490158.98 2789928575 500354.4009 2789928575
66 8.15493E+11 1.22301E+14 1.00047E+11 81580835051 54602226258 78672660.11 1486372.601 2584911567 495288.3027 2584911567
67 7.59421E+11 1.09349E+14 93168226302 78326647001 50333036212 75919799.17 1482595.843 2394960169 490273.4989 2394960169
68 7.07204E+11 9.77683E+13 86762140711 75202265663 46397641780 73263264.5 1478828.681 2218967288 485309.4701 2218967288
69 6.58578E+11 8.74142E+13 80796526450 72202513159 42769944450 70699685.5 1475071.091 2055907188 480395.7021 2055907188
70 6.13296E+11 7.81566E+13 75241097476 69322418155 39425886275 68225809.55 1471323.049 1904829507 475531.6862 1904829507
71 5.71126E+11 6.98795E+13 70067650159 66557207617 36343290330 65838497.8 1467584.531 1764853721 470716.9185 1764853721
72 5.31857E+11 6.24789E+13 65249920103 63902298906 33501713641 63534721.26 1463855.511 1635164010 465950.9004 1635164010
73 4.95287E+11 5.58621E+13 60763448807 61353292178 30882311609 61311556.92 1460135.967 1515004507 461233.1384 1515004507
74 4.61232E+11 4.99461E+13 56585459494 58905963096 28467713041 59166184.06 1456425.874 1403674886 456563.1437 1403674886
75 4.29519E+11 4.46565E+13 52694741476 56556255826 26241904948 57095880.64 1452725.208 1300526287 451940.4329 1300526287
76 3.99986E+11 3.99272E+13 49071542479 54300276322 24190126347 55098019.9 1449033.946 1204957529 447364.5271 1204957529
77 3.72483E+11 3.56987E+13 45697468359 52134285864 22298770377 53170066.95 1445352.062 1116411611 442834.9525 1116411611
78 3.46872E+11 3.19181E+13 42555389721 50054694868 20555294056 51309575.64 1441679.534 1034372462 438351.2399 1034372462
79 3.23022E+11 2.85378E+13 39629354959 48058056935 18948135103 49514185.4 1438016.337 958361932.8 433912.9249 958361932.8
