Z(km) N2 CO2 CO O O2 N H NO H2 H2O
236 4106461.176 9234827 625746.465 29516194.55 2168334.288 84019.0592 157230.282 87014.8385 166329.4188 87014.8385
237 3924462.446 8599857 598013.325 28761421.01 2058857.02 82136.0933 156975.9308 82889.50033 165255.744 82889.50033
238 3750529.915 8008545 571509.3204 28025948.16 1954907.161 80295.32689 156721.991 78959.74276 164188.9999 78959.74276
239 3584306.09 7457892 546179.9756 27309282.46 1856205.638 78495.81422 156468.462 75216.29341 163129.1417 75216.29341
240 3425449.32 6945100 521973.2297 26610942.98 1762487.468 76736.63074 156215.3432 71650.31947 162076.1251 71650.31947
241 3273633.096 6467567 498839.3289 25930461.09 1673501.044 75016.87263 155962.6338 68253.40691 161029.9057 68253.40691
242 3128545.381 6022868 476730.7247 25267380.15 1589007.466 73335.65632 155710.3332 65017.54059 159990.4399 65017.54059
243 2989887.967 5608746 455601.9759 24621255.19 1508779.893 71692.11805 155458.4408 61935.08538 158957.6839 61935.08538
244 2857375.862 5223099 435409.6551 23991652.61 1432602.939 70085.4134 155206.9558 58998.76813 157931.5945 58998.76813
245 2730736.705 4863967 416112.2598 23378149.93 1360272.092 68514.71689 154955.8777 56201.66048 156912.1286 56201.66048
246 2609710.207 4529529 397670.1268 22780335.43 1291593.164 66979.22154 154705.2058 53537.16257 155899.2434 53537.16257
247 2494047.615 4218087 380045.3508 22197807.94 1226381.775 65478.13844 154454.9393 50998.98742 154892.8965 50998.98742
248 2383511.199 3928059 363201.7065 21630176.56 1164462.851 64010.69638 154205.0778 48581.14613 153893.0458 48581.14613
249 2277873.767 3657972 347104.574 21077060.38 1105670.158 62576.14142 153955.6204 46277.93371 152899.6491 46277.93371
250 2176918.195 3406456 331720.8679 20538088.2 1049845.855 61173.73653 153706.5666 44083.91566 151912.665 44083.91566
251 2080436.984 3172234 317018.969 20012898.36 996840.0726 59802.76117 153457.9156 41993.91511 150932.0519 41993.91511
252 1988231.829 2954117 302968.6596 19501138.41 946510.5045 58462.51099 153209.6669 40003.00064 149957.7688 40003.00064
253 1900113.214 2750997 289541.0612 19002464.93 898722.0315 57152.29739 152961.8198 38106.47462 148989.7748 38106.47462
254 1815900.025 2561843 276708.5752 18516543.28 853346.356 55871.44721 152714.3737 36299.86213 148028.0294 36299.86213
255 1735419.171 2385695 264444.8261 18043047.39 810261.658 54619.3024 152467.3278 34578.9004 147072.492 34578.9004
256 1658505.237 2221659 252724.6075 17581659.49 769352.268 53395.21962 152220.6816 32939.52877 146123.1228 32939.52877
257 1585000.134 2068902 241523.83 17132069.98 730508.3567 52198.56997 151974.4344 31377.87908 145179.8819 31377.87908
258 1514752.785 1926647 230819.472 16693977.15 693625.6399 51028.73865 151728.5855 29890.26657 144242.7297 29890.26657
259 1447618.805 1794175 220589.5321 16267087.02 658605.0987 49885.12463 151483.1343 28473.18116 143311.6269 28473.18116
260 1383460.208 1670810 210812.9841 15851113.1 625352.7134 48767.14034 151238.0802 27123.2792 142386.5345 27123.2792
261 1322145.127 1555928 201469.7336 15445776.27 593779.2114 47674.21139 150993.4226 25837.37555 141467.4137 25837.37555
262 1263547.535 1448945 192540.5768 15050804.51 563799.8275 46605.77627 150749.1607 24612.43606 140554.2259 24612.43606
263 1207546.994 1349318 184007.161 14665932.77 535334.076 45561.28603 150505.2939 23445.57046 139646.9328 23445.57046
264 1154028.402 1256542 175851.947 14290902.79 508305.5349 44540.20405 150261.8217 22334.02548 138745.4964 22334.02548
265 1102881.759 1170144 168058.1728 13925462.88 482641.6409 43542.00571 150018.7433 21275.1784 137849.8789 21275.1784
266 1054001.939 1089687 160609.8193 13569367.82 458273.494 42566.17818 149776.0582 20266.53082 136960.0427 20266.53082
267 1007288.478 1014762 153491.5776 13222378.65 435135.6731 41612.22008 149533.7656 19305.70282 136075.9504 19305.70282
268 962645.3617 944989 146688.817 12884262.52 413166.0602 40679.64131 149291.865 18390.42729 135197.5651 18390.42729
269 919980.8322 880013 140187.5554 12554792.52 392305.6736 39767.96272 149050.3557 17518.5446 134324.8499 17518.5446
270 879207.1984 819505 133974.4302 12233747.57 372498.5093 38876.71593 148809.2372 16687.99751 133457.7681 16687.99751
271 840240.6559 763157 128036.6714 11920912.22 353691.3911 38005.44302 148568.5086 15896.82632 132596.2835 15896.82632
272 803001.114 710684 122362.0745 11616076.54 335833.8275 37153.69636 148328.1695 15143.16424 131740.3598 15143.16424
273 767412.032 661818 116938.9763 11319035.97 318877.8764 36321.03834 148088.2192 14425.23297 130889.9612 14425.23297
274 733400.2613 616313 111756.2303 11029591.18 302778.0163 35507.04117 147848.6571 13741.33853 130045.052 13741.33853
275 700895.8954 573936 106803.1841 10747547.92 287491.0237 34711.28664 147609.4825 13089.86725 129205.5968 13089.86725
276 669832.1259 534473 102069.6573 10472716.93 272975.8578 33933.3659 147370.6948 12469.28195 128371.5604 12469.28195
277 640145.1055 497724 97545.92083 10204913.79 259193.5497 33172.87927 147132.2934 11878.11836 127542.9078 11878.11836
278 611773.8165 463501 93222.6768 9943958.777 246107.098 32429.43605 146894.2776 11314.98159 126719.6042 11314.98159
279 584659.9456 431632 89091.03933 9689676.776 233681.3697 31702.65426 146656.6469 10778.5429 125901.6151 10778.5429
280 558747.7639 401953 85142.5164 9441897.149 221883.0053 30992.16051 146419.4006 10267.53656 125088.9063 10267.53656
281 533984.0125 374316 81368.99237 9200453.619 210680.3298 30297.58976 146182.5381 9780.75682 124281.4435 9780.75682
282 510317.7927 348579 77762.71127 8965184.165 200043.2675 29618.58515 145946.0588 9317.055109 123479.1931 9317.055109
283 487700.462 324611 74316.26087 8735930.905 189943.2609 28954.79784 145709.962 8875.337308 122682.1212 8875.337308
284 466085.5334 302291 71022.55747 8512539.995 180353.1947 28305.88678 145474.2472 8454.561169 121890.1946 8454.561169
285 445428.5804 281506 67874.8313 8294861.528 171247.3224 27671.51858 145238.9137 8053.733856 121103.3799 8053.733856
286 425687.1454 262150 64866.61263 8082749.427 162601.1975 27051.36732 145003.9609 7671.909603 120321.6441 7671.909603
287 406820.6526 244125 61991.71849 7876061.352 154391.6078 26445.11437 144769.3881 7308.187483 119544.9546 7308.187483
288 388790.3245 227340 59244.23992 7674658.602 146596.5129 25852.44827 144535.1948 6961.709281 118773.2787 6961.709281
289 371559.1021 211708 56618.52985 7478406.024 139194.9855 25273.06451 144301.3804 6631.65747 118006.5841 6631.65747
290 355091.5691 197151 54109.19148 7287171.92 132167.1545 24706.66542 144067.9442 6317.253281 117244.8385 6317.253281
291 339353.8786 183596 51711.06722 7100827.959 125494.1525 24152.96001 143834.8857 6017.754867 116488.0101 6017.754867
292 324313.684 170972 49419.22804 6919249.095 119158.0644 23611.66378 143602.2042 5732.455552 115736.0671 5732.455552
293 309940.0722 159216 47228.96339 6742313.475 113141.8798 23082.49863 143369.899 5460.682161 114988.978 5460.682161
294 296203.5002 148269 45135.77146 6569902.366 107429.447 22565.1927 143137.9697 5201.793436 114246.7114 5201.793436
295 283075.7343 138074 43135.34998 6401900.069 102005.4298 22059.48021 142906.4156 4955.178521 113509.2363 4955.178521
296 270529.7921 128580 41223.58737 6238193.843 96855.26647 21565.10132 142675.2361 4720.255519 112776.5216 4720.255519
297 258539.8872 119739 39396.55425 6078673.832 91965.13027 21081.80205 142444.4305 4496.470121 112048.5367 4496.470121
298 247081.3761 111506 37650.4954 5923232.988 87321.89269 20609.33408 142213.9983 4283.294297 111325.251 4283.294297
299 236130.7071 103839 35981.82204 5771767 82913.08804 20147.45467 141983.9389 4080.225053 110606.6341 4080.225053
300 225665.3728 96700 34387.10443 5624174.226 78726.88002 19695.92653 141754.2516 3886.78324 109892.6561 3886.78324
301 215663.8631 90051 32863.06485 5480355.621 74752.02991 19254.51766 141524.9359 3702.512424 109183.2868 3702.512424
302 206105.6212 83859 31406.57084 5340214.675 70977.86645 18823.00128 141295.9912 3526.977813 108478.4966 3526.977813
303 196971.0014 78093 30014.62878 5203657.343 67394.25714 18401.1557 141067.4168 3359.765227 107778.2559 3359.765227
304 188241.2288 72723 28684.37772 5070591.988 63991.58108 17988.76416 140839.2122 3200.480121 107082.5354 3200.480121
305 179898.3605 67723 27413.0835 4940929.315 60760.7031 17585.61481 140611.3768 3048.746658 106391.3058 3048.746658
306 171925.2489 63067 26198.13316 4814582.312 57692.94928 17191.50051 140383.91 2904.206816 105704.5381 2904.206816
307 164305.5063 58730 25037.02953 4691466.191 54780.08362 16806.21877 140156.8111 2766.51955 105022.2036 2766.51955
308 157023.4714 54692 23927.38612 4571498.336 52014.28595 16429.57165 139930.0796 2635.359981 104344.2737 2635.359981
309 150064.1769 50931 22866.9222 4454598.239 49388.13094 16061.36564 139703.7148 2510.418634 103670.7199 2510.418634
310 143413.319 47430 21853.45814 4340687.453 46894.56817 15701.41155 139477.7163 2391.400706 103001.5139 2391.400706
311 137057.2278 44168 20884.9109 4229689.538 44526.90316 15349.52446 139252.0833 2278.025369 102336.6277 2278.025369
312 130982.839 41131 19959.28976 4121530.007 42278.77944 15005.52357 139026.8154 2170.025111 101676.0335 2170.025111
313 125177.6678 38303 19074.69223 4016136.278 40144.1615 14669.23214 138801.9119 2067.145101 101019.7034 2067.145101
314 119629.7822 35670 18229.30014 3913437.625 38117.31851 14340.47741 138577.3722 1969.142591 100367.6101 1969.142591
315 114327.7794 33217 17421.37591 3813365.131 36192.80902 14019.09045 138353.1957 1875.78634 99719.72604 1875.78634
316 109260.7619 30933 16649.25896 3715851.642 34365.46631 13704.90615 138129.3819 1786.856071 99076.02417 1786.856071
317 104418.315 28806 15911.36229 3620831.72 32630.3845 13397.76309 137905.9302 1702.14195 98436.47748 1702.14195
318 99790.48588 26826 15206.16928 3528241.6 30982.90543 13097.50347 137682.8399 1621.444091 97801.05912 1621.444091
319 95367.76252 24981 14532.23048 3438019.149 29418.60611 12803.97302 137460.1106 1544.572085 97169.74247 1544.572085
320 91141.05466 23263 13888.16071 3350103.822 27933.28687 12517.02093 137237.7415 1471.344549 96542.50103 1471.344549
321 87101.67487 21664 13272.63617 3264436.622 26522.96007 12236.49978 137015.7322 1401.588702 95919.3085 1401.588702
322 83241.32076 20174 12684.39173 3180960.061 25183.83942 11962.26543 136794.082 1335.13995 95300.13876 1335.13995
323 79552.05789 18787 12122.21835 3099618.122 23912.32978 11694.177 136572.7903 1271.841507 94684.96582 1271.841507
324 76026.30349 17495 11584.96053 3020356.219 22705.01754 11432.09675 136351.8567 1211.544018 94073.76389 1211.544018
325 72656.81084 16292 11071.51403 2943121.162 21558.66141 11175.89002 136131.2804 1154.105207 93466.50733 1154.105207
326 69436.65441 15172 10580.82353 2867861.121 20470.18378 10925.42518 135911.061 1099.389548 92863.17069 1099.389548
327 66359.21561 14129 10111.88047 2794525.594 19436.66242 10680.57356 135691.1979 1047.267936 92263.72865 1047.267936
328 63418.16917 13157 9663.721016 2723065.366 18455.32263 10441.20935 135471.6904 997.6173881 91668.15607 997.6173881
329 60607.47017 12253 9235.424026 2653432.484 17523.52982 10207.20957 135252.538 950.3207527 91076.42799 950.3207527
330 57921.34161 11410 8826.109198 2585580.219 16638.78239 9978.454008 135033.7401 905.2664315 90488.51957 905.2664315
331 55354.26251 10626 8434.93524 2519463.039 15798.70508 9754.825123 134815.2962 862.3481175 89904.40616 862.3481175
332 52900.95659 9895 8061.098147 2455036.575 15001.04252 9536.208024 134597.2056 821.4645433 89324.06327 821.4645433
333 50556.38141 9215 7703.829548 2392257.592 14243.65323 9322.490391 134379.4679 782.5192427 88747.46656 782.5192427
334 48315.71801 8581 7362.395125 2331083.963 13524.50386 9113.562421 134162.0824 745.4203231 88174.59185 745.4203231
335 46174.36102 7991 7036.093107 2271474.636 12841.6637 8909.316773 133945.0485 710.0802481 87605.4151 710.0802481
336 44127.90916 7442 6724.252824 2213389.608 12193.29952 8709.64851 133728.3658 676.4156318 87039.91246 676.4156318
337 42172.15623 6930 6426.233331 2156789.903 11577.67068 8514.455048 133512.0335 644.3470413 86478.06019 644.3470413
338 40303.08245 6454 6141.422088 2101637.537 10993.12439 8323.6361 133296.0513 613.7988096 85919.83475 613.7988096
339 38516.84619 6010 5869.233706 2047895.5 10438.09133 8137.09363 133080.4184 584.6988572 85365.21271 584.6988572
340 36809.77609 5597 5609.108737 1995527.728 9911.081386 7954.731795 132865.1344 556.9785217 84814.17082 556.9785217
341 35178.36348 5212 5360.51253 1944499.079 9410.679708 7776.456904 132650.1986 530.5723961 84266.68596 530.5723961
342 33619.25523 4853 5122.93413 1894775.309 8935.542865 7602.177363 132435.6105 505.4181741 83722.73518 505.4181741
343 32129.24679 4520 4895.885226 1846323.051 8484.395258 7431.803631 132221.3696 481.4565037 83182.29566 481.4565037
344 30705.27567 4209 4678.89915 1799109.79 8056.025693 7265.248174 132007.4752 458.6308463 82645.34474 458.6308463
345 29344.41507 3920 4471.529916 1753103.843 7649.284125 7102.425421 131793.9269 436.887344 82111.8599 436.887344
346 28043.86794 3650 4273.351306 1708274.338 7263.078577 6943.251718 131580.724 416.1746924 81581.81876 416.1746924
347 26800.96118 3399 4083.955989 1664591.191 6896.372204 6787.645284 131367.866 396.4440191 81055.19909 396.4440191
348 25613.14016 3165 3902.95469 1622025.087 6548.180509 6635.526174 131155.3524 377.6487691 80531.97882 377.6487691
349 24477.96347 2948 3729.975385 1580547.463 6217.568703 6486.816231 130943.1825 359.7445943 80012.13598 359.7445943
350 23393.09791 2745 3564.662539 1540130.484 5903.649193 6341.439053 130731.3559 342.6892491 79495.64879 342.6892491
351 22356.3137 2556 3406.676373 1500747.028 5605.579199 6199.319949 130519.8719 326.4424909 78982.49559 326.4424909
352 21365.47985 2381 3255.692168 1462370.667 5322.558495 6060.385901 130308.7301 310.9659849 78472.65484 310.9659849
353 20418.55985 2217 3111.399596 1424975.646 5053.827253 5924.565528 130097.9298 296.2232138 77966.10517 296.2232138
354 19513.60743 2064 2973.502085 1388536.873 4798.664013 5791.789049 129887.4705 282.1793915 77462.82534 282.1793915
355 18648.76258 1922 2841.716203 1353029.894 4556.383738 5661.988248 129677.3517 268.8013811 76962.79423 268.8013811
356 17822.24774 1790 2715.771084 1318430.882 4326.335978 5535.096435 129467.5728 256.0576167 76465.99088 256.0576167
357 17032.36411 1667 2595.407864 1284716.619 4107.903125 5411.048416 129258.1333 243.918029 75972.39445 243.918029
358 16277.48819 1553 2480.379153 1251864.48 3900.498752 5289.78046 129049.0325 232.3539743 75481.98424 232.3539743
359 15556.06844 1446 2370.448524 1219852.42 3703.566042 5171.230261 128840.27 221.3381667 74994.73968 221.3381667
360 14866.62208 1346 2265.390031 1188658.957 3516.576288 5055.336912 128631.8453 210.844614 74510.64034 210.844614
361 14207.73204 1254 2164.98774 1158263.157 3339.027481 4942.040868 128423.7577 200.8485565 74029.66591 200.8485565
362 13578.04407 1168 2069.035288 1128644.624 3170.442955 4831.283922 128216.0067 191.3264079 73551.79623 191.3264079
363 12976.26393 1087 1977.335456 1099783.481 3010.370112 4723.00917 128008.5918 182.2557006 73077.01125 182.2557006
364 12401.15474 1013 1889.69977 1071660.361 2858.379204 4617.160982 127801.5125 173.6150318 72605.29105 173.6150318
365 11851.53444 943 1805.948105 1044256.392 2714.062182 4513.684976 127594.7681 165.3840136 72136.61587 165.3840136
366 11326.27336 878 1725.908322 1017553.184 2577.031598 4412.527989 127388.3582 157.5432247 71670.96603 157.5432247
367 10824.2919 818 1649.415909 991532.8163 2446.919566 4313.63805 127182.2822 150.0741643 71208.32202 150.0741643
368 10344.55831 761 1576.313647 966177.829 2323.376775 4216.96435 126976.5396 142.9592091 70748.66442 142.9592091
369 9886.086546 709 1506.451283 941471.2068 2206.07155 4122.457221 126771.1298 136.1815711 70291.97396 136.1815711
370 9447.934296 660 1439.685226 917396.3703 2094.68896 4030.068108 126566.0523 129.725258 69838.2315 129.725258
371 9029.200993 615 1375.878247 893937.1635 1988.929979 3939.749544 126361.3065 123.5750362 69387.41799 123.5750362
372 8629.025989 573 1314.899198 871077.844 1888.510675 3851.455125 126156.892 117.7163939 68939.51453 117.7163939
373 8246.586776 533 1256.622747 848803.0717 1793.161451 3765.139488 125952.8081 112.1355075 68494.50233 112.1355075
374 7881.097304 497 1200.929113 827097.8989 1702.626326 3680.758286 125749.0544 106.8192086 68052.36274 106.8192086
375 7531.806359 462 1147.703826 805947.7601 1616.662238 3598.268165 125545.6303 101.7549533 67613.07721 101.7549533
376 7197.99602 431 1096.837489 785338.4621 1535.0384 3517.626745 125342.5353 96.93079223 67176.62732 96.93079223
377 6878.980185 401 1048.225552 765256.1749 1457.535678 3438.792595 125139.7688 92.33534271 66742.99476 92.33534271
378 6574.103161 374 1001.768101 745687.4221 1383.945998 3361.72521 124937.3304 87.95776159 66312.16134 87.95776159
379 6282.738314 348 957.3696478 726619.0717 1314.071797 3286.384996 124735.2194 83.78771982 65884.10901 83.78771982
380 6004.286783 324 914.9389384 708038.3278 1247.725481 3212.733244 124533.4354 79.81537804 65458.81979 79.81537804
381 5738.17625 302 874.3887619 689932.7215 1184.728932 3140.732115 124331.9778 76.03136336 65036.27587 76.03136336
382 5483.859759 281 835.6357729 672290.1028 1124.913023 3070.344616 124130.8461 72.42674729 64616.45951 72.42674729
383 5240.814599 262 798.6003198 655098.6324 1068.117165 3001.534584 123930.0397 68.9930246 64199.35312 68.9930246
384 5008.541222 244 763.2062814 638346.7738 1014.18888 2934.266665 123729.5583 65.72209331 63784.93919 65.72209331
385 4786.562222 227 729.38091 622023.2855 962.9833863 2868.5063 123529.4011 62.60623554 63373.20035 62.60623554
386 4574.421351 211 697.0546821 606117.2133 914.3632122 2804.219701 123329.5677 59.63809933 62964.11933 59.63809933
387 4371.682583 197 666.1611555 590617.8834 868.1978273 2741.373841 123130.0576 56.81068125 62557.67898 56.81068125
388 4177.929215 183 636.6368328 575514.8947 824.3632917 2679.93643 122930.8703 54.11730991 62153.86224 54.11730991
389 3992.763015 171 608.4210308 560798.1121 782.7419228 2619.875904 122732.0051 51.55163021 61752.65218 51.55163021
390 3815.803397 159 581.4557557 546457.6599 743.2219798 2561.161405 122533.4617 49.10758835 61354.03198 49.10758835
391 3646.686645 148 555.685584 532483.9145 705.6973635 2503.762767 122335.2395 46.77941752 60957.98492 46.77941752
392 3485.065163 138 531.0575486 518867.4989 670.0673316 2447.6505 122137.3379 44.56162432 60564.49438 44.56162432
393 3330.606759 128 507.52103 505599.2756 636.2362284 2392.795775 121939.7565 42.4489758 60173.54387 42.4489758
394 3182.993967 119 485.0276521 492670.3407 604.1132275 2339.170408 121742.4947 40.43648709 59785.11699 40.43648709
395 3041.923386 111 463.5311826 480072.0182 573.6120883 2286.74685 121545.552 38.51940965 59399.19744 38.51940965
396 2907.105066 104 442.9874387 467795.8537 544.6509245 2235.498164 121348.9279 36.69322008 59015.76905 36.69322008
397 2778.261907 96 423.3541953 455833.6092 517.151984 2185.398022 121152.6219 34.95360941 58634.81573 34.95360941
398 2655.129088 90 404.5910991 444177.2574 491.0414406 2136.420683 120956.6334 33.29647297 58256.32151 33.29647297
399 2537.453526 84 386.659585 432818.976 466.2491953 2088.540984 120760.962 31.71790071 57880.27051 31.71790071
400 2424.993357 78 369.5227972 421751.143 442.7086884 2041.734325 120565.6071 30.21416791 57506.64696 30.21416791
401 2317.517432 73 353.1455134 410966.3311 420.3567207 1995.976659 120370.5683 28.78172647 57135.43519 28.78172647
402 2214.804849 68 337.4940723 400457.3031 399.133284 1951.244475 120175.8449 27.4171965 56766.61964 27.4171965
403 2116.644498 63 322.5363045 390217.0068 378.9813997 1907.514793 119981.4366 26.11735835 56400.18483 26.11735835
404 2022.834622 59 308.2414663 380238.5703 359.8469661 1864.765144 119787.3428 24.87914499 56036.1154 24.87914499
405 1933.182409 55 294.5801766 370515.2974 341.6786131 1822.973565 119593.5629 23.69963482 55674.39607 23.69963482
406 1847.50359 51 281.5243565 361040.6633 324.427564 1782.118584 119400.0966 22.57604476 55315.01169 22.57604476
407 1765.622064 47 269.0471716 351808.3098 308.047505 1742.179211 119206.9432 21.50572364 54957.94717 21.50572364
408 1687.369534 44 257.1229766 342812.0415 292.4944607 1703.134927 119014.1022 20.48614601 54603.18754 20.48614601
409 1612.585164 41 245.727263 334045.8213 277.7266757 1664.965671 118821.5733 19.51490614 54250.71792 19.51490614
410 1541.115243 38 234.8366085 325503.7666 263.704503 1627.651833 118629.3557 18.58971237 53900.52353 18.58971237
411 1472.812876 36 224.4286288 317180.1451 250.3902973 1591.174242 118437.4492 17.70838165 53552.58969 17.70838165
412 1407.537676 33 214.4819316 309069.3711 237.748314 1555.514157 118245.853 16.86883446 53206.9018 16.86883446
413 1345.155479 31 204.976073 301166.0019 225.7446133 1520.653256 118054.5669 16.06908987 52863.44536 16.06908987
414 1285.538067 29 195.8915149 293464.7337 214.3469687 1486.573628 117863.5901 15.30726084 52522.20598 15.30726084
415 1228.562903 27 187.2095853 285960.3985 203.524781 1453.257766 117672.9223 14.58154982 52183.16933 14.58154982
416 1174.112884 25 178.9124395 278647.9604 193.2489959 1420.688551 117482.563 13.89024446 51846.32119 13.89024446
417 1122.076095 23 170.983024 271522.5125 183.4920261 1388.84925 117292.5116 13.23171361 51511.64746 13.23171361
418 1072.345581 22 163.4050409 264579.2729 174.227677 1357.723506 117102.7676 12.60440344 51179.13407 12.60440344
419 1024.819128 20 156.1629147 257813.5825 165.4310767 1327.295326 116913.3306 12.00683379 50848.7671 12.00683379
420 979.3990513 19 149.2417602 251220.9009 157.0786088 1297.549077 116724.2 11.43759467 50520.53268 11.43759467
421 935.9919968 17 142.6273519 244796.8041 149.1478497 1268.469477 116535.3754 10.89534295 50194.41706 10.89534295
422 894.5087468 16 136.3060947 238536.9812 141.6175075 1240.041585 116346.8563 10.37879916 49870.40654 10.37879916
423 854.8640382 15 130.2649963 232437.2314 134.4673656 1212.250795 116158.6421 9.886744507 49548.48755 9.886744507
424 816.9763867 14 124.4916399 226493.4613 127.678228 1185.082829 115970.7324 9.418017963 49228.64658 9.418017963
425 780.7679193 13 118.9741591 220701.6824 121.2318679 1158.52373 115783.1267 8.971513555 48910.87022 8.971513555
426 746.1642145 12 113.7012136 215058.008 115.1109787 1132.559851 115595.8245 8.546177739 48595.14514 8.546177739
427 713.094149 11 108.6619656 209558.6509 109.2991279 1107.177853 115408.8252 8.141006921 48281.4581 8.141006921
428 681.4897518 11 103.8460574 204199.9206 103.7807122 1082.364696 115222.1285 7.755045088 47969.79595 7.755045088
429 651.2860644 10 99.24359076 198978.2211 98.54091639 1058.107631 115035.7338 7.387381548 47660.14561 7.387381548
430 622.4210071 9 94.84510584 193890.0483 93.56567322 1034.394195 114849.6406 7.037148787 47352.4941 7.037148787
431 594.8352517 9 90.64156217 188931.9878 88.84162565 1011.212205 114663.8485 6.70352042 47046.82851 6.70352042
432 568.4720996 8 86.62431993 184100.7124 84.35609104 988.5497505 114478.3569 6.385709238 46743.13603 6.385709238
433 543.2773647 7 82.78512224 179392.9799 80.09702708 966.3951884 114293.1654 6.082965355 46441.40391 6.082965355
434 519.1992627 7 79.11607813 174805.6312 76.05299947 944.7371362 114108.2735 5.794574437 46141.61951 5.794574437
435 496.1883044 6 75.60964639 170335.588 72.21315121 923.5644663 113923.6807 5.519856015 45843.77025 5.519856015
436 474.1971939 6 72.25862002 165979.8505 68.56717348 902.8663008 113739.3865 5.258161882 45547.84365 5.258161882
437 453.1807314 6 69.05611145 161735.4958 65.10527791 882.6320056 113555.3904 5.008874561 45253.82728 5.008874561
438 433.0957204 5 65.99553834 157599.6756 61.81817037 862.8511847 113371.692 4.771405852 44961.70881 4.771405852
439 413.9008789 5 63.07061011 153569.6145 58.69702597 843.5136752 113188.2907 4.545195437 44671.47601 4.545195437
440 395.5567545 5 60.27531497 149642.6082 55.73346537 824.6095421 113005.1861 4.329709566 44383.11669 4.329709566
441 378.0256433 4 57.60390755 145816.0214 52.9195323 806.1290728 112822.3778 4.124439793 44096.61876 4.124439793
442 361.2715126 4 55.05089716 142087.2861 50.24767222 788.0627726 112639.8651 3.928901777 43811.97021 3.928901777
443 345.2599265 4 52.61103642 138453.9002 47.71071197 770.4013594 112457.6478 3.742634138 43529.15909 3.742634138
444 329.9579753 3 50.27931052 134913.4255 45.30184058 753.1357592 112275.7252 3.565197373 43248.17356 3.565197373
445 315.334208 3 48.05092693 131463.486 43.01459097 736.2571015 112094.0968 3.396172813 42969.00181 3.396172813
446 301.3585674 3 45.9213055 128101.7667 40.84282255 719.7567143 111912.7624 3.235161638 42691.63215 3.235161638
447 288.0023284 3 43.88606909 124826.0116 38.78070479 703.6261201 111731.7212 3.081783938 42416.05294 3.081783938
448 275.2380392 3 41.94103454 121634.0225 36.82270152 687.8570316 111550.9729 2.935677813 42142.25263 2.935677813
449 263.0394644 2 40.08220409 118523.6574 34.96355609 672.4413468 111370.5171 2.796498519 41870.21973 2.796498519
450 251.3815315 2 38.30575718 115492.829 33.19827726 657.3711457 111190.3531 2.66391766 41599.94283 2.66391766
451 240.2402793 2 36.60804256 112539.5034 31.52212579 642.6386855 111010.4806 2.537622405 41331.41059 2.537622405
452 229.5928084 2 34.9855708 109661.6988 29.93060171 628.2363971 110830.8991 2.417314757 41064.61176 2.417314757
453 219.4172343 2 33.43500714 106857.484 28.41943227 614.1568808 110651.608 2.302710845 40799.53515 2.302710845
454 209.6926427 2 31.9531646 104124.9772 26.98456043 600.3929031 110472.6071 2.193540259 40536.16964 2.193540259
455 200.3990458 2 30.53699745 101462.3448 25.62213399 586.9373923 110293.8957 2.089545405 40274.50418 2.089545405
456 191.5173419 1 29.18359496 98867.79982 24.32849525 573.7834353 110115.4733 1.990480906 40014.5278 1.990480906
457 183.029276 1 27.89017539 96339.60128 23.10017117 560.924274 109937.3397 1.896113014 39756.2296 1.896113014
458 174.9174019 1 26.6540803 93876.05259 21.93386409 548.3533016 109759.4942 1.806219066 39499.59874 1.806219066
459 167.1650469 1 25.47276905 91475.50056 20.82644281 536.0640594 109581.9364 1.720586953 39244.62446 1.720586953
460 159.7562769 1 24.34381362 89136.33425 19.77493425 524.0502336 109404.6658 1.639014624 38991.29606 1.639014624
461 152.6758642 1 23.2648936 86856.98394 18.77651542 512.3056518 109227.682 1.561309606 38739.60293 1.561309606
462 145.9092561 1 22.23379141 84635.92006 17.82850587 500.8242799 109050.9845 1.487288551 38489.53451 1.487288551
463 139.4425447 1 21.24838776 82471.65213 16.92836047 489.600219 108874.5728 1.416776805 38241.08031 1.416776805
464 133.2624385 1 20.30665729 80362.72778 16.07366262 478.6277025 108698.4466 1.349607992 37994.2299 1.349607992
465 127.3562351 1 19.4066644 78307.73181 15.2621177 467.901093 108522.6052 1.285623625 37748.97295 1.285623625
466 121.7117953 1 18.54655928 76305.28518 14.49154696 457.4148794 108347.0483 1.22467273 37505.29915 1.22467273
467 116.3175175 1 17.7245741 74354.04412 13.75988165 447.1636742 108171.7754 1.166611493 37263.19829 1.166611493
468 111.1623146 1 16.93901937 72452.69924 13.06515747 437.1422106 107996.7861 1.111302916 37022.66023 1.111302916
469 106.2355908 1 16.1882805 70599.97461 12.4055093 427.3453397 107822.0798 1.058616496 36783.67486 1.058616496
470 101.5272198 1 15.47081444 68794.62694 11.77916618 417.7680282 107647.6561 1.008427918 36546.23217 1.008427918
471 97.02752421 0 14.78514655 67035.44473 11.18444656 408.4053556 107473.5146 0.960618759 36310.3222 0.960618759
472 92.72725556 0 14.12986751 65321.24745 10.61975381 399.2525114 107299.6549 0.915076214 36075.93505 0.915076214
473 88.61757521 0 13.50363051 63650.88478 10.08357189 390.3047933 107126.0763 0.871692822 35843.0609 0.871692822
474 84.69003626 0 12.90514838 62023.2358 9.574461318 381.557604 106952.7786 0.830366219 35611.68998 0.830366219
