Z(km) O2+ O+ CO2+ CO+ NO+ N2+ OH+ H+ HCO+
270.272 0.0486 1.59 0.194 0.0995 0.00901 0.18 0 0.00735 0
271.704 0.0452 1.53 0.175 0.0911 0.0084 0.169 0 0.00734 0
273.142 0.0419 1.47 0.158 0.0834 0.00784 0.158 0 0.00732 0
274.588 0.0389 1.41 0.143 0.0763 0.00731 0.148 0 0.0073 0
276.04 0.0361 1.36 0.129 0.0699 0.00681 0.139 0 0.00729 0
277.499 0.0335 1.3 0.116 0.0639 0.00634 0.13 0 0.00727 0
278.965 0.031 1.25 0.105 0.0585 0.00591 0.122 0 0.00725 0
280.437 0.0287 1.2 0.0942 0.0535 0.0055 0.114 0 0.00723 0
281.917 0.0266 1.16 0.0847 0.049 0.00512 0.106 0 0.00722 0
283.403 0.0246 1.11 0.0762 0.0448 0.00476 0.0994 0 0.0072 0
284.896 0.0228 1.07 0.0685 0.041 0.00443 0.0929 0 0.00718 0
286.396 0.0211 1.02 0.0616 0.0375 0.00412 0.0868 0 0.00717 0
287.845 0.0196 0.985 0.0556 0.0344 0.00384 0.0813 0 0.00715 0
289.359 0.0181 0.946 0.0499 0.0315 0.00357 0.0759 0 0.00713 0
290.88 0.0167 0.908 0.0447 0.0288 0.00331 0.0708 0 0.00711 0
292.408 0.0155 0.871 0.0401 0.0263 0.00308 0.0661 0 0.0071 0
293.943 0.0143 0.836 0.036 0.0241 0.00285 0.0617 0 0.00708 0
295.484 0.0132 0.803 0.0322 0.022 0.00265 0.0575 0 0.00706 0
297.032 0.0122 0.77 0.0289 0.0202 0.00246 0.0536 0 0.00704 0
298.587 0.0112 0.739 0.0259 0.0184 0.00228 0.05 0 0.00703 0
300.149 0.0104 0.709 0.0231 0.0169 0.00211 0.0466 0 0.00701 0
301.718 0.00955 0.68 0.0207 0.0154 0.00196 0.0434 0 0.00699 0
303.293 0.0088 0.653 0.0185 0.0141 0.00181 0.0404 0 0.00697 0
304.876 0.00811 0.626 0.0165 0.0129 0.00168 0.0376 0 0.00696 0
306.465 0.00747 0.6 0.0147 0.0118 0.00155 0.035 0 0.00694 0
308.06 0.00687 0.575 0.0132 0.0108 0.00144 0.0325 0 0.00692 0
309.663 0.00633 0.552 0.0117 0.00988 0.00133 0.0302 0 0.0069 0
311.272 0.00582 0.529 0.0105 0.00904 0.00123 0.0281 0 0.00689 0
312.888 0.00535 0.507 0.00933 0.00827 0.00114 0.0261 0 0.00687 0
314.511 0.00492 0.486 0.00831 0.00757 0.00105 0.0243 0 0.00685 0
316.14 0.00452 0.465 0.0074 0.00693 0.000971 0.0226 0 0.00683 0
317.777 0.00415 0.446 0.00659 0.00634 0.000897 0.0209 0 0.00681 0
319.42 0.00382 0.427 0.00586 0.0058 0.000828 0.0194 0 0.0068 0
321.07 0.0035 0.409 0.00521 0.00531 0.000764 0.018 0 0.00678 0
322.726 0.00321 0.392 0.00463 0.00486 0.000705 0.0167 0 0.00676 0
324.389 0.00295 0.375 0.00411 0.00445 0.000651 0.0155 0 0.00674 0
326.06 0.00271 0.359 0.00365 0.00407 0.0006 0.0144 0 0.00672 0
327.736 0.00248 0.344 0.00324 0.00372 0.000553 0.0133 0 0.0067 0
329.42 0.00227 0.329 0.00288 0.00341 0.00051 0.0124 0 0.00669 0
331.11 0.00208 0.315 0.00255 0.00312 0.000469 0.0114 0 0.00667 0
332.807 0.00191 0.301 0.00226 0.00286 0.000432 0.0106 0 0.00665 0
334.51 0.00175 0.288 0.002 0.00261 0.000398 0.00981 0 0.00663 0
336.22 0.0016 0.275 0.00177 0.00239 0.000366 0.00908 0 0.00661 0
337.938 0.00146 0.263 0.00157 0.00219 0.000337 0.0084 0 0.0066 0
339.661 0.00134 0.252 0.00139 0.002 0.00031 0.00777 0 0.00658 0
341.392 0.00122 0.241 0.00123 0.00184 0.000285 0.00718 0 0.00656 0
343.129 0.00112 0.23 0.00108 0.00168 0.000262 0.00664 0 0.00654 0
344.872 0.00102 0.22 0.000957 0.00154 0.000241 0.00613 0 0.00652 0
346.623 0.000932 0.21 0.000844 0.00141 0.000221 0.00566 0 0.0065 0
348.38 0.000851 0.201 0.000745 0.00129 0.000203 0.00523 0 0.00648 0
350.143 0.000777 0.192 0.000657 0.00118 0.000186 0.00483 0 0.00647 0
351.914 0.000709 0.183 0.000579 0.00108 0.000171 0.00446 0 0.00645 0
353.69 0.000647 0.175 0.00051 0.000988 0.000157 0.00411 0 0.00643 0
355.474 0.00059 0.167 0.000449 0.000905 0.000144 0.00379 0 0.00641 0
357.264 0.000537 0.159 0.000396 0.000828 0.000132 0.0035 0 0.00639 0
359.061 0.00049 0.152 0.000348 0.000758 0.000121 0.00322 0 0.00637 0
360.864 0.000446 0.145 0.000306 0.000694 0.000111 0.00297 0 0.00636 0
362.675 0.000406 0.138 0.000269 0.000634 0.000101 0.00274 0 0.00634 0
364.491 0.000369 0.132 0.000236 0.000581 0.0000928 0.00252 0 0.00632 0
366.314 0.000336 0.126 0.000208 0.000531 0.0000849 0.00232 0 0.0063 0
368.144 0.000306 0.12 0.000182 0.000486 0.0000777 0.00214 0 0.00628 0
369.981 0.000278 0.115 0.00016 0.000445 0.0000711 0.00196 0 0.00626 0
371.823 0.000253 0.109 0.00014 0.000407 0.000065 0.00181 0 0.00624 0
373.673 0.00023 0.104 0.000123 0.000372 0.0000594 0.00166 0 0.00622 0
375.529 0.000209 0.0992 0.000108 0.00034 0.0000543 0.00153 0 0.00621 0
377.392 0.000189 0.0945 0.0000944 0.000311 0.0000496 0.0014 0 0.00619 0
379.261 0.000172 0.0901 0.0000826 0.000285 0.0000453 0.00129 0 0.00617 0
381.137 0.000156 0.0858 0.0000723 0.00026 0.0000413 0.00119 0 0.00615 0
383.019 0.000141 0.0817 0.0000633 0.000238 0.0000377 0.00109 0 0.00613 0
384.908 0.000128 0.0778 0.0000553 0.000218 0.0000344 0.000999 0 0.00611 0
386.803 0.000116 0.0741 0.0000483 0.000199 0.0000314 0.000917 0 0.00609 0
388.704 0.000105 0.0705 0.0000422 0.000182 0.0000286 0.000841 0 0.00608 0
390.613 0.0000955 0.0671 0.0000368 0.000166 0.0000261 0.000771 0 0.00606 0
392.527 0.0000865 0.0638 0.0000321 0.000152 0.0000238 0.000707 0 0.00604 0
394.449 0.0000783 0.0607 0.0000279 0.000139 0.0000217 0.000648 0 0.00602 0
396.376 0.0000708 0.0578 0.0000244 0.000127 0.0000197 0.000594 0 0.006 0
398.311 0.0000641 0.055 0.0000213 0.000116 0.000018 0.000544 0 0.00598 0
400.251 0.0000579 0.0523 0.0000185 0.000106 0.0000163 0.000498 0 0.00596 0
402.198 0.0000524 0.0497 0.0000162 0.0000964 0.0000149 0.000456 0 0.00594 0
404.152 0.0000473 0.0472 0.0000141 0.000088 0.0000135 0.000417 0 0.00593 0
406.111 0.0000428 0.0449 0.0000122 0.0000803 0.0000123 0.000382 0 0.00591 0
408.078 0.0000386 0.0427 0.0000106 0.0000732 0.0000112 0.000349 0 0.00589 0
410.051 0.0000349 0.0405 0.00000916 0.0000668 0.0000102 0.00032 0 0.00587 0
412.03 0.0000315 0.0385 0.00000797 0.0000609 0.00000922 0.000292 0 0.00585 0
414.015 0.0000284 0.0366 0.00000701 0.0000556 0.00000837 0.000267 0 0.00583 0
416.007 0.0000256 0.0347 0.00000604 0.0000507 0.0000076 0.000244 0 0.00581 0
418.006 0.0000231 0.033 0.00000532 0.0000462 0.0000069 0.000223 0 0.00579 0
420.01 0.0000208 0.0313 0.00000459 0.0000421 0.00000626 0.000203 0 0.00578 0
422.021 0.0000188 0.0297 0.00000386 0.0000384 0.00000567 0.000186 0 0.00576 0
424.039 0.0000169 0.0282 0.00000338 0.000035 0.00000515 0.000169 0 0.00574 0
426.062 0.0000152 0.0268 0.00000289 0.0000318 0.00000466 0.000155 0 0.00572 0
428.092 0.0000137 0.0254 0.00000264 0.000029 0.00000423 0.000141 0 0.0057 0
430.129 0.0000123 0.0241 0.00000218 0.0000264 0.00000383 0.000129 0 0.00568 0
432.171 0.0000111 0.0229 0.00000189 0.000024 0.00000347 0.000117 0 0.00566 0
434.22 0.00000997 0.0217 0.00000164 0.0000219 0.00000314 0.000107 0 0.00564 0
436.276 0.00000896 0.0205 0.00000145 0.0000199 0.00000284 0.0000973 0 0.00563 0
438.337 0.00000806 0.0195 0.00000121 0.0000181 0.00000257 0.0000887 0 0.00561 0
440.405 0.00000724 0.0185 0.0000011 0.0000165 0.00000232 0.0000807 0 0.00559 0
442.479 0.0000065 0.0175 0.000000967 0.000015 0.0000021 0.0000735 0 0.00557 0
444.56 0.00000584 0.0166 0.000000726 0.0000136 0.0000019 0.0000669 0 0.00555 0
446.646 0.00000524 0.0157 0.000000726 0.0000124 0.00000172 0.0000608 0 0.00553 0
448.739 0.0000047 0.0149 0.000000538 0.0000112 0.00000155 0.0000553 0 0.00551 0
450.838 0.00000422 0.0141 0.000000484 0.0000102 0.0000014 0.0000503 0 0.00549 0
452.943 0.00000378 0.0133 0.000000484 0.00000929 0.00000126 0.0000457 0 0.00548 0
455.055 0.00000339 0.0126 0.000000465 0.00000845 0.00000114 0.0000415 0 0.00546 0
457.172 0.00000304 0.012 0.000000242 0.00000762 0.00000103 0.0000377 0 0.00544 0
459.296 0.00000272 0.0113 0.000000242 0.00000692 0.000000928 0.0000343 0 0.00542 0
461.426 0.00000244 0.0107 0.000000242 0.0000063 0.000000837 0.0000311 0 0.0054 0
463.562 0.00000218 0.0101 0.000000242 0.00000572 0.000000755 0.0000283 0 0.00538 0
465.705 0.00000195 0.00959 0.000000242 0.0000052 0.00000068 0.0000256 0 0.00536 0
467.853 0.00000175 0.00907 0.000000242 0.00000472 0.000000613 0.0000233 0 0.00535 0
470.008 0.00000156 0.00858 0 0.00000421 0.000000552 0.0000211 0 0.00533 0
472.168 0.0000014 0.00811 0 0.00000382 0.000000497 0.0000191 0 0.00531 0
474.335 0.00000125 0.00767 0 0.00000346 0.000000447 0.0000173 0 0.00529 0
476.508 0.00000112 0.00725 0 0.00000314 0.000000402 0.0000157 0 0.00527 0
478.687 0.000000996 0.00685 0 0.00000284 0.000000362 0.0000142 0 0.00525 0
480.872 0.000000889 0.00647 0 0.00000257 0.000000326 0.0000129 0 0.00523 0
483.064 0.000000794 0.00611 0 0.00000233 0.000000293 0.0000117 0 0.00522 0
485.261 0.000000709 0.00578 0 0.00000211 0.000000263 0.0000106 0 0.0052 0
487.464 0.000000632 0.00546 0 0.00000191 0.000000236 0.00000956 0 0.00518 0
489.674 0.000000564 0.00515 0 0.00000173 0.000000212 0.00000865 0 0.00516 0
491.889 0.000000503 0.00487 0 0.00000156 0.000000191 0.00000782 0 0.00514 0
494.11 0.000000448 0.00459 0 0.00000141 0.000000171 0.00000707 0 0.00512 0
496.337 0.000000399 0.00434 0 0.00000128 0.000000154 0.0000064 0 0.0051 0
498.571 0.000000356 0.00409 0 0.00000115 0.000000138 0.00000578 0 0.00509 0
500.81 0.000000317 0.00386 0 0.00000104 0.000000124 0.00000522 0 0.00507 0
